Sensor, Timestamp, Value
LoadCell, 2024-04-29 09:04:41.684865, None
DMM, 2024-04-29 09:04:41.684865, 9.9e+37
LoadCell, 2024-04-29 09:04:42.965948, 0.0009
DMM, 2024-04-29 09:04:42.965948, 9.9e+37
LoadCell, 2024-04-29 09:04:43.574439, None
DMM, 2024-04-29 09:04:43.574439, 9.9e+37
LoadCell, 2024-04-29 09:04:44.174145, None
DMM, 2024-04-29 09:04:44.174145, 9.9e+37
LoadCell, 2024-04-29 09:04:44.773748, None
DMM, 2024-04-29 09:04:44.773748, 9.9e+37
LoadCell, 2024-04-29 09:04:45.373525, None
DMM, 2024-04-29 09:04:45.373525, 9.9e+37
LoadCell, 2024-04-29 09:04:46.014245, 0.0009
DMM, 2024-04-29 09:04:46.014245, 9.9e+37
LoadCell, 2024-04-29 09:04:46.733341, None
DMM, 2024-04-29 09:04:46.733341, 9.9e+37
LoadCell, 2024-04-29 09:04:47.452199, None
DMM, 2024-04-29 09:04:47.452199, 9.9e+37
LoadCell, 2024-04-29 09:04:48.172389, None
DMM, 2024-04-29 09:04:48.172389, 9.9e+37
LoadCell, 2024-04-29 09:04:48.892469, None
DMM, 2024-04-29 09:04:48.892469, 9.9e+37
LoadCell, 2024-04-29 09:04:49.612552, 0.001
DMM, 2024-04-29 09:04:49.612552, 9.9e+37
LoadCell, 2024-04-29 09:04:50.333039, None
DMM, 2024-04-29 09:04:50.333039, 9.9e+37
LoadCell, 2024-04-29 09:04:50.992843, None
DMM, 2024-04-29 09:04:50.992843, 9.9e+37
LoadCell, 2024-04-29 09:04:51.592494, None
DMM, 2024-04-29 09:04:51.592494, 9.9e+37
LoadCell, 2024-04-29 09:04:52.192919, None
DMM, 2024-04-29 09:04:52.192919, 9.9e+37
LoadCell, 2024-04-29 09:04:52.792684, 0.001
DMM, 2024-04-29 09:04:52.792684, 9.9e+37
LoadCell, 2024-04-29 09:04:53.392579, None
DMM, 2024-04-29 09:04:53.392579, 9.9e+37
LoadCell, 2024-04-29 09:04:53.993157, None
DMM, 2024-04-29 09:04:53.993157, 9.9e+37
LoadCell, 2024-04-29 09:04:54.592504, None
DMM, 2024-04-29 09:04:54.592504, 9.9e+37
LoadCell, 2024-04-29 09:04:55.194772, None
DMM, 2024-04-29 09:04:55.194772, 9.9e+37
LoadCell, 2024-04-29 09:04:55.792858, 0.0009
DMM, 2024-04-29 09:04:55.792858, 9.9e+37
LoadCell, 2024-04-29 09:04:56.392900, None
DMM, 2024-04-29 09:04:56.392900, 9.9e+37
LoadCell, 2024-04-29 09:04:56.992119, None
DMM, 2024-04-29 09:04:56.992119, 9.9e+37
LoadCell, 2024-04-29 09:04:57.592909, None
DMM, 2024-04-29 09:04:57.592909, 9.9e+37
LoadCell, 2024-04-29 09:04:58.192624, None
DMM, 2024-04-29 09:04:58.192624, 9.9e+37
LoadCell, 2024-04-29 09:04:58.853166, 0.0009
DMM, 2024-04-29 09:04:58.853166, 9.9e+37
LoadCell, 2024-04-29 09:04:59.572197, None
DMM, 2024-04-29 09:04:59.572197, 9.9e+37
LoadCell, 2024-04-29 09:05:00.291570, None
DMM, 2024-04-29 09:05:00.291570, 9.9e+37
LoadCell, 2024-04-29 09:05:01.011915, None
DMM, 2024-04-29 09:05:01.011915, 9.9e+37
LoadCell, 2024-04-29 09:05:01.731545, None
DMM, 2024-04-29 09:05:01.731545, 9.9e+37
LoadCell, 2024-04-29 09:05:02.452341, 0.0009
DMM, 2024-04-29 09:05:02.452341, 9.9e+37
LoadCell, 2024-04-29 09:05:03.171453, None
DMM, 2024-04-29 09:05:03.171453, 9.9e+37
LoadCell, 2024-04-29 09:05:03.811590, None
DMM, 2024-04-29 09:05:03.811590, 9.9e+37
LoadCell, 2024-04-29 09:05:04.411642, None
DMM, 2024-04-29 09:05:04.411642, 9.9e+37
LoadCell, 2024-04-29 09:05:05.011926, None
DMM, 2024-04-29 09:05:05.011926, 9.9e+37
LoadCell, 2024-04-29 09:05:05.611163, 0.0009
DMM, 2024-04-29 09:05:05.611163, 9.9e+37
LoadCell, 2024-04-29 09:05:06.212053, None
DMM, 2024-04-29 09:05:06.212053, 9.9e+37
LoadCell, 2024-04-29 09:05:06.811671, None
DMM, 2024-04-29 09:05:06.811671, 9.9e+37
LoadCell, 2024-04-29 09:05:07.411629, None
DMM, 2024-04-29 09:05:07.411629, 9.9e+37
LoadCell, 2024-04-29 09:05:08.011635, None
DMM, 2024-04-29 09:05:08.011635, 9.9e+37
LoadCell, 2024-04-29 09:05:08.611828, 0.0009
DMM, 2024-04-29 09:05:08.611828, 9.9e+37
LoadCell, 2024-04-29 09:05:09.211813, None
DMM, 2024-04-29 09:05:09.211813, 9.9e+37
LoadCell, 2024-04-29 09:05:09.812177, None
DMM, 2024-04-29 09:05:09.812177, 9.9e+37
LoadCell, 2024-04-29 09:05:10.411957, None
DMM, 2024-04-29 09:05:10.411957, 9.9e+37
LoadCell, 2024-04-29 09:05:11.011416, None
DMM, 2024-04-29 09:05:11.011416, 9.9e+37
LoadCell, 2024-04-29 09:05:11.691818, 0.0009
DMM, 2024-04-29 09:05:11.691818, 9.9e+37
LoadCell, 2024-04-29 09:05:12.410824, None
DMM, 2024-04-29 09:05:12.410824, 9.9e+37
LoadCell, 2024-04-29 09:05:13.131075, None
DMM, 2024-04-29 09:05:13.131075, 9.9e+37
LoadCell, 2024-04-29 09:05:13.850001, None
DMM, 2024-04-29 09:05:13.850001, 9.9e+37
LoadCell, 2024-04-29 09:05:14.570627, None
DMM, 2024-04-29 09:05:14.570627, 9.9e+37
LoadCell, 2024-04-29 09:05:15.290776, 0.0009
DMM, 2024-04-29 09:05:15.290776, 9.9e+37
LoadCell, 2024-04-29 09:05:16.010431, None
DMM, 2024-04-29 09:05:16.010431, 9.9e+37
LoadCell, 2024-04-29 09:05:16.630707, None
DMM, 2024-04-29 09:05:16.630707, 9.9e+37
LoadCell, 2024-04-29 09:05:17.230522, None
DMM, 2024-04-29 09:05:17.230522, 9.9e+37
LoadCell, 2024-04-29 09:05:17.830169, None
DMM, 2024-04-29 09:05:17.830169, 9.9e+37
LoadCell, 2024-04-29 09:05:18.430544, 0.001
DMM, 2024-04-29 09:05:18.430544, 9.9e+37
LoadCell, 2024-04-29 09:05:19.030236, None
DMM, 2024-04-29 09:05:19.030236, 9.9e+37
LoadCell, 2024-04-29 09:05:19.629859, None
DMM, 2024-04-29 09:05:19.629859, 9.9e+37
LoadCell, 2024-04-29 09:05:20.230244, None
DMM, 2024-04-29 09:05:20.230244, 9.9e+37
LoadCell, 2024-04-29 09:05:20.830746, None
DMM, 2024-04-29 09:05:20.830746, 9.9e+37
LoadCell, 2024-04-29 09:05:21.430943, 0.0009
DMM, 2024-04-29 09:05:21.430943, 9.9e+37
LoadCell, 2024-04-29 09:05:22.030442, None
DMM, 2024-04-29 09:05:22.030442, 9.9e+37
LoadCell, 2024-04-29 09:05:22.630683, None
DMM, 2024-04-29 09:05:22.630683, 9.9e+37
LoadCell, 2024-04-29 09:05:23.230358, None
DMM, 2024-04-29 09:05:23.230358, 9.9e+37
LoadCell, 2024-04-29 09:05:23.830251, None
DMM, 2024-04-29 09:05:23.830251, 9.9e+37
LoadCell, 2024-04-29 09:05:24.550149, 0.001
DMM, 2024-04-29 09:05:24.550149, 9.9e+37
LoadCell, 2024-04-29 09:05:25.269628, None
DMM, 2024-04-29 09:05:25.269628, 9.9e+37
LoadCell, 2024-04-29 09:05:25.989239, None
DMM, 2024-04-29 09:05:25.989239, 9.9e+37
LoadCell, 2024-04-29 09:05:26.710028, None
DMM, 2024-04-29 09:05:26.710028, 9.9e+37
LoadCell, 2024-04-29 09:05:27.429396, None
DMM, 2024-04-29 09:05:27.429396, 9.9e+37
